original,corrected,reference,notes
Mocrosolen cochinchinensis,Macrosolen cochinchinensis,JRFerrisParisButterflies,Found at:  http://eol.org/pages/2872682/overview
Metasphaeria cumana f. macrospora,Metasphaeria cumana f. macrospora,BIO_INFO,Found at:  http://eol.org/pages/1281896/overview
Metatropis rufescens ssp. linnaeae,Metatropis rufescens ssp. linnaeae,BIO_INFO,Found at:  http://eol.org/pages/17268546/overview
Metatropis rufescens ssp. rufescens,Metatropis rufescens ssp. rufescens,BIO_INFO,Found at:  http://eol.org/pages/17268547/overview
Metridia gerlacei,Metridia gerlachei,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=344689
Micromesistius potassou,Micromesistius poutassou,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=126439
Mucor racemosus f. racemosus,Mucor racemosus f. racemosus,BIO_INFO,Found at:  http://eol.org/pages/1261630/overview
Mucor racemosus f. sphaerosporus,Mucor racemosus f. sphaerosporus,BIO_INFO,Found at:  http://eol.org/pages/1261618/overview
Oncocalyx fischeri,Oncocalyx fischeri,JRFerrisParisButterflies,Found at:  http://data.gbif.org/species/4003768/
Oncocalyx quinquenervius,Oncocalyx quinquenervius,JRFerrisParisButterflies,Found at:  http://data.gbif.org/species/4003722/
Paenibacillus larvae ssp. larvae,Paenibacillus larvae ssp.,BIO_INFO,Found at:  http://eol.org/pages/11441849/overview
Pandora bluncki,Pandora blunckii,BIO_INFO,Found at:  http://data.gbif.org/species/5250830/
Collisella pustulata,Patelloida pustulata,Roopnarine et al 2013,Found at:  http://www.malacolog.org/search.php?mode=findsnail&genus=+Collisella+&associatedname=pustulata+&author=&year=&yearend=&Search=Search
Phacellium salicinum var. salicinum,Phacellium salicinum var. salicinum,BIO_INFO,Found at:  http://eol.org/pages/6627586/overview
Phoma exigua var. exigua,Phoma exigua var. exigua,BIO_INFO,Found at:  http://eol.org/pages/1252609/overview
Phomopsis achilleae var. achilleae,Phomopsis achilleae var. achilleae,BIO_INFO,Found at:  http://eol.org/pages/6423926/overview
Phyllachora sylvatica f. sylvatica,Phyllachora sylvatica f. sylvatica,BIO_INFO,Found at:  http://eol.org/pages/6643074/overview
Phyllosticta sorbi var. torminalis,Phyllosticta sorbi var. torminalis,BIO_INFO,Found at:  http://eol.org/pages/6428605/overview
Plagiognathus albipennis sensu S. & L.,Plagiognathus albipennis,BIO_INFO,Found at:  http://eol.org/pages/3698394/overview
Protounguicularia barbata f. resinacea,Protounguicularia barbata f. resinacea,BIO_INFO,Found at:  http://eol.org/pages/1281858/overview
Psathyrella prona f. cana,Psathyrella prona f. cana,BIO_INFO,Found at:  http://eol.org/pages/6690010/overview
Psathyrella prona f. orbitarum,Psathyrella prona f. orbitarum,BIO_INFO,Found at:  http://eol.org/pages/6690009/overview
Pseudobaeospora dichroa f. cystidiata,Pseudobaeospora dichroa f. cystidiata,BIO_INFO,Found at:  http://eol.org/pages/1276305/overview
Pseudobaeospora dichroa f. dichroa,Pseudobaeospora dichroa f. dichroa,BIO_INFO,Found at:  http://eol.org/pages/1254297/overview
Pseudomonas savastanoi pv. savastanoi,Pseudomonas savastanoi pv. savastanoi,BIO_INFO,Found at:  http://eol.org/pages/973108/hierarchy_entries/53150310/overview
Pseudomonas syringae pv. berberidis,Pseudomonas syringae pv. berberidis,BIO_INFO,Found at:  http://eol.org/pages/6374832/hierarchy_entries/53150365/overview
Pseudomonas syringae pv. delphinii,Pseudomonas syringae pv. delphinii,BIO_INFO,Found at:  http://eol.org/pages/6374832/hierarchy_entries/53150360/overview
Pseudomonas syringae pv. lachrymans,Pseudomonas syringae pv. lachrymans,BIO_INFO,Found at:  http://eol.org/pages/6374832/hierarchy_entries/53150321/overview
Pseudomonas syringae pv. maculicola,Pseudomonas syringae pv. maculicola,BIO_INFO,Found at:  http://eol.org/pages/6374832/hierarchy_entries/53150354/overview
Pseudomonas syringae pv. mori,Pseudomonas syringae pv. mori,BIO_INFO,Found at:  http://eol.org/pages/6374832/hierarchy_entries/53150319/overview
Pseudomonas syringae pv. mors-prunorum,Pseudomonas syringae pv. morsprunorum,BIO_INFO,Found at: http://eol.org/pages/6374832/hierarchy_entries/53150321/overview
Pseudomonas syringae pv. philadelphi,Pseudomonas syringae pv. philadelphi,BIO_INFO,Found at:  http://eol.org/pages/6374832/hierarchy_entries/53150368/overview
Pseudomonas syringae pv. syringiae,Pseudomonas syringae pv. syringiae,BIO_INFO,Found at:  http://eol.org/pages/1268797/overview
Pseudomonas syringae pv. viburni,Pseudomonas syringae pv. viburni,BIO_INFO,Found at:  http://eol.org/pages/6374832/hierarchy_entries/53150364/overview
Puccinia graminis f.sp. agrostidis,Puccinia graminis f.sp. agrostidis,BIO_INFO,Found at:  http://eol.org/pages/32480834/overview
Puccinia graminis f.sp. avenae,Puccinia graminis f.sp. avenae,BIO_INFO,Found at:  http://eol.org/pages/18527450/overview
Puccinia graminis f.sp. epigaei,Puccinia graminis f.sp. epigaei,BIO_INFO,Found at:  http://eol.org/pages/32480837/overview
Puccinia graminis f.sp. phlei-pratense,Puccinia graminis f.sp. phlei-pratense,BIO_INFO,Found at:  http://eol.org/pages/32480838/overview
Puccinia graminis f.sp. poae,Puccinia graminis f.sp. poae,BIO_INFO,Found at:  http://eol.org/pages/11979351/overview
Puccinia graminis f.sp. secalis,Puccinia graminis f.sp. secalis,BIO_INFO,Found at:  http://eol.org/pages/23791615/overview
Puccinia graminis ssp. graminis,Puccinia graminis ssp. graminis,BIO_INFO,Found at:  http://eol.org/pages/18523528/overview
Puccinia polygoni-amphibii var. tovariae,Puccinia polygoni-amphibii var. tovariae,BIO_INFO,Found at:  http://eol.org/pages/6776498/overview
Ramularia alnicola var. alnicola,Ramularia alnicola var. alnicola,BIO_INFO,Found at:  http://eol.org/pages/6619303/overview
Ramularia alnicola var. multiseptata,Ramularia alnicola var. multiseptata,BIO_INFO,Found at:  http://eol.org/pages/18181814/overview
Ramularia cupulariae var. inulae-britannicae,Ramularia cupulariae var. inulae-britannicae,BIO_INFO,Found at:  http://eol.org/pages/6619270/overview
Ramularia cylindroides var. angustispora,Ramularia cylindroides var. angustispora,BIO_INFO,Found at:  http://eol.org/pages/18181761/overview
Ramularia deusta var. alba,Ramularia deusta var. alba,BIO_INFO,Found at:  http://eol.org/pages/6619123/overview
Ramularia deusta var. deusta,Ramularia deusta var. deusta,BIO_INFO,Found at:  http://eol.org/pages/18181808/overview
Ramularia didyma var. didyma,Ramularia didyma var. didyma,BIO_INFO,Found at:  http://eol.org/pages/18180894/overview
Ramularia didyma var. exigua,Ramularia didyma var. exigua,BIO_INFO,Found at:  http://eol.org/pages/6619291/overview
Ramularia filaris var. carniolica,Ramularia filaris var. carniolica,BIO_INFO,Found at:  http://eol.org/pages/18181736/overview
Ramularia geranii var. erodii,Ramularia geranii var. erodii,BIO_INFO,Found at:  http://eol.org/pages/18180935/overview
Ramularia geranii var. geranii,Ramularia geranii var. geranii,BIO_INFO,Found at:  http://eol.org/pages/18180815/overview
Ramularia lamii var. lamii,Ramularia lamii var. lamii,BIO_INFO,Found at:  http://eol.org/pages/6619136/overview
Ramularia occidentalis var. occidentalis,Ramularia occidentalis var. occidentalis,BIO_INFO,Found at:  http://eol.org/pages/18181840/overview
Ramularia pratensis var. pratensis,Ramularia pratensis var. pratensis,BIO_INFO,Found at:  http://eol.org/pages/6619172/overview
Ramularia stolonifera,Ramularia stolonifera,BIO_INFO,Found at:  http://data.gbif.org/species/5263524/
Ramularia valerianae var. centranthi,Ramularia valerianae var. centranthi,BIO_INFO,Found at:  http://eol.org/pages/18181144/overview
Ramularia valerianae var. valerianae,Ramularia valerianae var. valerianae,BIO_INFO,Found at:  http://eol.org/pages/18180782/overview
Rhabdospora cirsii var. rumicis,Rhabdospora cirsii var. rumicis,BIO_INFO,Found at:  http://eol.org/pages/6624325/overview
Rhabdospora phomatoides var. brachyspora,Rhabdospora phomatoides var. brachyspora,BIO_INFO,Found at:  http://eol.org/pages/32481178/overview
Rhabdospora pleosporoides var. rubsecens,Rhabdospora pleosporoides var. rubsecens,BIO_INFO,Found at:  http://eol.org/pages/32481180/overview
Rhabdospora scrophulariae var. hesperidis,Rhabdospora scrophulariae var. hesperidis,BIO_INFO,Found at:  http://eol.org/pages/6624799/overview
Rhodocollybia butyracea var. asema,Rhodocollybia butyracea var. asema,BIO_INFO,Found at:  http://eol.org/pages/6698362/overview
Rhodocollybia butyracea var. butyracea,Rhodocollybia butyracea var. butyracea,BIO_INFO,Found at:  http://eol.org/pages/6698363/overview
Ryparobius dubius var. dubius,Ryparobius dubius var. dubius,BIO_INFO,Found at:  http://eol.org/pages/6604390/overview
Scyliorhinus caniculata,Scyliorhinus canicula,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=105814
Septoria aegopodina var. trailii,Septoria aegopodina var. trailii,BIO_INFO,Found at:  http://eol.org/pages/6616778/overview
Septoria bromi var. arrhenatheri,Septoria bromi var. arrhenatheri,BIO_INFO,Found at:  http://eol.org/pages/6616408/overview
Septoria petroselini var. torilis,Septoria petroselini var. torilis,BIO_INFO,Found at:  http://eol.org/pages/32482069/overview
Septoria polaris var. scotica,Septoria polaris var. scotica,BIO_INFO,Found at:  http://eol.org/pages/6618488/overview
Spheciosponia cuspidifera,Spheciospongia cuspidifera,Roopnarine et al 2013,Found at:  http://gni.globalnames.org/data_sources/30?page=224&search_term=ns%3ASPH*
Spilocaea photinicola,Spilocaea photinicola,BIO_INFO,Found at:  http://data.gbif.org/species/3538095/
Stagonospora arenaria var. arenaria,Stagonospora arenaria var. arenaria,BIO_INFO,Found at:  http://eol.org/pages/6518925/overview
Stephus longipes,Stephos longipes,Barnes 2008,Found at:  http://www.marinespecies.org/aphia.php?p=taxdetails&id=345365
Taxilus limprichtii,Taxillus limprichtii,JRFerrisParisButterflies,Found at:  http://data.gbif.org/species/7287901/
Ustilago pinguiculi,Ustilago pinguiculae,BIO_INFO,Found at:  http://data.gbif.org/species/2556290/
Xanthomonas arboricola pv. juglandis,Xanthomonas arboricola pv. juglandis,BIO_INFO,Found at:  http://eol.org/pages/35838733/overview
Xanthomonas axonopodis pv. poinsettiicola,Xanthomonas axonopodis pv. poinsettiicola,BIO_INFO,Found at:  http://eol.org/pages/973418/hierarchy_entries/53183066/overview
Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris,BIO_INFO,Found at:  http://eol.org/pages/973454/hierarchy_entries/53182847/overview
Xanthomonas hortorum pv. carotae,Xanthomonas hortorum pv. carotae,BIO_INFO,Found at:  http://eol.org/pages/973410/hierarchy_entries/53183128/overview
Xanthomonas hortorum pv. pelargonii,Xanthomonas hortorum pv. pelargonii,BIO_INFO,Found at:  http://eol.org/pages/973410/hierarchy_entries/53183126/overview
Monoicomyces brittanicus,Monoicomyces britannicus,BIO_INFO,Found at:  http://data.gbif.org/species/2610442/
Mycosphaerella alchemilae,Mycosphaerella alchemillae,BIO_INFO,Found at:  http://data.gbif.org/species/3505475/
Orthopristes chrysopterus,Orthopristis chrysoptera,Miles 1949,Found at:  http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=169077
fish,Actinopterygii,,
fish eggs,Actinopterygii,,
Fish scale,Actinopterygii,,
Decapod,Decapoda,,
Amphipod,Amphipoda,,
Mice,Muridae,,
Pisces,Actinopterygii,,UKSI suggests that Fish are Pisces and we'd like to say Fish are Actinopterygii
Sandy detritus,Detritus,,
detritus,Detritus,,
marine-detritus,Detritus,,
carrion-detritus,Detritus,,
terrestrial-detritus,Detritus,,
Organic detritus,Detritus,,
lichens,Fungi,,lichens are a kind of Fungi according to EOL
Plant material,Plantae,,
plant tissue,Plantae,,
dead plants,Plantae,,
emergent plants,Plantae,,
Scomberomorous cavalla,Scomberomorus cavalla,,assuming typo
Scomberomorous maculatus,Scomberomorus maculatus,,assuming typo
Scombomorus maculatus,Scomberomorus maculatus,,assuming typo
Decapoa,Decapoda,,assuming typo
Canis lupus ssp. familiaris,Canis lupus familiaris,,added genus to match with ITIS
diatoms in sand,Bacillariophyta,,diatoms are Bacillariophyta according to ITIS
Rocks,rock,,matching to ENVO ontology term
suspended organic matter,organic material,,suggest to use ENVO term label
POM,organic material,,assumed to be acronym for particulate organic matter
dissolved organic matter,organic material,,assumed to be acronym for particulate organic matter
Cyclopoidea,Cyclopoida,,typo
nematode larva,Nematode,Hechinger 2011,replaced with scientific name using https://en.wikipedia.org/wiki/Nematode
tetraphyllidean larva,Tetraphyllidea,Hechinger 2011,replaced with scientific name using https://en.wikipedia.org/wiki/Tetraphyllidea
tetraphyllidean,Tetraphyllidea,Hechinger 2011,replaced with scientific name using https://en.wikipedia.org/wiki/Tetraphyllidea
Tetraphyllidae,Tetraphyllidea,,assumed typo
Exogene,Exogone,,assumed typo genus exists in WoRMS
California Bat Ray,Myliobatis californica,,replaced common name with scientific name http://animaldiversity.ummz.umich.edu/accounts/Myliobatis_californica/
Yellow-fin Goby,Mustelus californicus,,replaced common name with scientific name http://eol.org/pages/207918/overview
anthozoan,Anthozoa,,replaced with scientific name http://eol.org/pages/1746/overview
errant annelid,Annelida,,replaced with scientific name https://en.wikipedia.org/wiki/Annelid
errant large annelid,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
annelid,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
annelids,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
annelid red,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
annelid unknown,Annelida,,replaced with scientific https://en.wikipedia.org/wiki/Annelid
Priomis,Piromis,,replaced with correct genus http://www.marinespecies.org/aphia.php?p=taxdetails&id=129294
Pteromalitidae,Pteromalidae,,corrected assumed typo using http://eol.org/pages/706 and that the family is part of order Hymenoptera
Hydropyschidae,Hydropsychidae,,corrected assumed typo using https://en.wikipedia.org/wiki/Hydropsychidae and http://eol.org/pages/1125/overview
Echneidae,Echeneidae,,corrected assumed typo using https://en.wikipedia.org/wiki/Echeneidae and http://eol.org/pages/5331/overview
Calazodion,Calozodion,,corrected assumed typo using http://eol.org/pages/39675/overview
Malanoides tuberculata,Melanoides tuberculata,,corrected assumed typo using http://eol.org/pages/19662986/overview
Centropomis undecimalis,Centropomus undecimalis,,corrected assumed typo using http://eol.org/pages/205157/overview
debris,Other,,Term corrected to scientific notation by BrianHayden
carcasses,Animalia,,Term corrected to scientific notation by BrianHayden
blue-green algae,Cyanophycota,,Term corrected to scientific notation by BrianHayden
dinoflagellates,Dinoflagellata,,Term corrected to scientific notation by BrianHayden
diatoms,Bacillariophyceae,,Term corrected to scientific notation by BrianHayden
green algae,Plantae,,Term corrected to scientific notation by BrianHayden
green-algae,Plantae,,Term corrected to scientific notation by BrianHayden
n.a./other  phytoplankton,Plantae,,Term corrected to scientific notation by BrianHayden
n.a./other phytoplankton,Plantae,,Term corrected to scientific notation by BrianHayden
benthic algae/weeds,Plantae,,Term corrected to scientific notation by BrianHayden
periphyton,Other,,Term corrected to scientific notation by BrianHayden
terrestrial plants,Embryophyta,,Term corrected to scientific notation by BrianHayden
ascidians,Ascidiacea,,Term corrected to scientific notation by BrianHayden
hard corals,Scleractinia,,Term corrected to scientific notation by BrianHayden
n.a./other polyps,Cnidaria,,Term corrected to scientific notation by BrianHayden
polychaetes,Polychaeta,,Term corrected to scientific notation by BrianHayden
n.a./other annelids,Clitellata,,Term corrected to scientific notation by BrianHayden
non-annelids,Archiannelida,,Term corrected to scientific notation by BrianHayden
chitons,Polyplacophora,,Term corrected to scientific notation by BrianHayden
gastropods,Gastropoda,,Term corrected to scientific notation by BrianHayden
octopi,Octopoda,,Term corrected to scientific notation by BrianHayden
n.a./other mollusks,Mollusca,,Term corrected to scientific notation by BrianHayden
ostracods,Ostracoda,,Term corrected to scientific notation by BrianHayden
Ostracod,Ostracoda,,Vatiation on term corrected to scientific notation by BrianHayden
benthic copepods,Copepoda,,Term corrected to scientific notation by BrianHayden
benth. copepods,Copepoda,,Term corrected to scientific notation by BrianHayden
amphipods,Amphipoda,,Term corrected to scientific notation by BrianHayden
stomatopods,Stomatopoda,,Term corrected to scientific notation by BrianHayden
shrimps/prawns,Caridea,,Term corrected to scientific notation by BrianHayden
lobsters,Nephropidae,,Term corrected to scientific notation by BrianHayden
crabs,Brachyura,,Term corrected to scientific notation by BrianHayden
n.a./benthic crustaceans,Crustacea,,Term corrected to scientific notation by BrianHayden
n.a./other benth. Crustaceans,Crustacea,,Term corrected to scientific notation by BrianHayden
insects,Insecta,,Term corrected to scientific notation by BrianHayden
n.a./terrest. Insects,Insecta,,Term corrected to scientific notation by BrianHayden
sea stars/brittle stars,Ophiuroidea,,Term corrected to scientific notation by BrianHayden
sea urchins,Echinoidea,,Term corrected to scientific notation by BrianHayden
sea cucumbers,Holothuroidea,,Term corrected to scientific notation by BrianHayden
n.a./other echinoderms,Echinodermata,,Term corrected to scientific notation by BrianHayden
n.a./other benthic invertebrates,Animalia,,
n.a./other benth. Invertebrates,Animalia,,
jellyfish/hydroids,Medusozoa,,Term corrected to scientific notation by BrianHayden
planktonic copepods,Copepoda,,Term corrected to scientific notation by BrianHayden
plank. copepods,Copepoda,,Term corrected to scientific notation by BrianHayden
cladocerans,Cladocera,,Term corrected to scientific notation by BrianHayden
mysids,Mysis,,Term corrected to scientific notation by BrianHayden
euphausiids,Euphausiacea,,Term corrected to scientific notation by BrianHayden
n.a./other planktonic crustaceans,Crustacea,,Term corrected to scientific notation by BrianHayden
n.a./other plank. crustaceans,Crustacea,,Term corrected to scientific notation by BrianHayden
n.a./other planktonic invertebrates,Animalia,,Term corrected to scientific notation by BrianHayden
n.a./other plank. Invertebrates,Animalia,,Term corrected to scientific notation by BrianHayden
fish eggs/larvae,Osteichthyes,,Term corrected to scientific notation by BrianHayden
squids/cuttlefish,Decapodiformes,,Term corrected to scientific notation by BrianHayden
bony fish,Osteichthyes,,Term corrected to scientific notation by BrianHayden
n.a./other finfish,Chondrichthyes,,Term corrected to scientific notation by BrianHayden
salamanders/newts,Caudata,,Term corrected to scientific notation by BrianHayden
toads/frogs,Anura,,Term corrected to scientific notation by BrianHayden
turtle,Testudines,,Term corrected to scientific notation by BrianHayden
n.a./other reptiles,Reptilia,,Term corrected to scientific notation by BrianHayden
sea birds,Aves,,Term corrected to scientific notation by BrianHayden
shore birds,Aves,,Term corrected to scientific notation by BrianHayden
n.a./other birds,Aves,,Term corrected to scientific notation by BrianHayden
dolphins,Odontoceti,,Term corrected to scientific notation by BrianHayden
pinnipeds,Pinnipedia,,Term corrected to scientific notation by BrianHayden
n.a./other mammals,Mammalia,,Term corrected to scientific notation by BrianHayden
n.a./other cephalopods,Cephalopoda,,Term corrected to scientific notation by BrianHayden
n.a./others,Other,,Term corrected to scientific notation by BrianHayden
Invertebrates,Invertebrata,,normalized term to functional group see https://en.wikipedia.org/wiki/Invertebrata
Appendicularians house,Appendicularia,,as discussed with author Dr. Carolyn Barnes
Polychaete,Polychaeta,,as discussed with author Dr. Carolyn Barnes
Euphausid calyptopis,Euphausidae,,as discussed with author Dr. Carolyn Barnes
Harpacticoid,Harpacticoida,,as discussed with author Dr. Carolyn Barnes
egg,Animalia,,as discussed with author Dr. Carolyn Barnes
Myctophid,Myctophidae,,as discussed with author Dr. Carolyn Barnes
Tintinnid,Tintinnida,,as discussed with author Dr. Carolyn Barnes
E.superba furcilia,Euphausia superba,,as discussed with author Dr. Carolyn Barnes
Chironoomidae,Chironomidae,,typo corrected as suggested by Allen Hurlbert
Achillidae,Achilidae,,typo corrected as suggested by Allen Hurlbert
Grey Smoothhound,Mustelus californicus,,as suggested by Sergey Slyusarev (cph.lmy at gmail dot com)
gall tissue (Q. robur),Quercus robur,https://en.wikipedia.org/wiki/Quercus_robur,correcting odd notation from SPIRE data
gall tissue (Atriplex polycarpa),Atriplex polycarpa,,correcting odd notation from SPIRE data
gall tissue (Atriplex canescens),Atriplex canescens,,correcting odd notation from SPIRE data
gall tissue,Plantae,,correcting odd notation from SPIRE data
Athya affinis,Aythya affinis,,suspected typo in Hechinger et al 2011; author has been notified
Trichocorixia sp.,Trichocorixa sp.,,suspected typo in Hechinger et al 2011; author has been notified
Opistobranchia,Opisthobranchia,,suspected typo in Hechinger et al 2011; author has been notified
Oligocheate,Oligochaeta,,suspected typo in Hechinger et al 2011; author has been notified
Cryptorynchus lapathi,Cryptorhynchus lapathi,,suspected typo in Hurlbert Avian Diet Database
Secernentia nematodes,Secernentae,,suspected usage of combination of typo and common name in SPIRE resource
Bossiella orbigiana,Bossiella orbigniana,http://eol.org/pages/922133/overview,suspected typo in Byrnes et al. 2011
Potamya,Potamyia,http://eol.org/pages/72788,suspected typo in SPIRE resource
Kelicottia longispina,Kellicottia longispina,http://eol.org/pages/1062533,suspected typo in SPIRE resource;confirmed by Brian Hayden
Kelicottia bostoniensis,Kellicottia bostoniensis,http://eol.org/pages/1062532,suspected typo in SPIRE resource;confirmed by Brian Hayden
Colletheca mutabilis,Collotheca mutabilis,http://eol.org/pages/1062104,suspected typo in SPIRE resource;confirmed by Brian Hayden
Chaoborys punctipennis,Chaoborus punctipennis,http://eol.org/pages/740825,suspected typo;confirmed by Brian Hayden
Phoxinys neogaeus,Phoxinus neogaeus,http://eol.org/pages/208318,suspected typo;confirmed by Brian Hayden
Micropogonius undulatus,Micropogonias undulatus,http://eol.org/pages/994841,suspected typo
Macrozooplankton,Animalia,,mapping provided by Brian Hayden
mesozooplankton,Animalia,,mapping provided by Brian Hayden
Paralepidae,Chalcidoidea,,mapping provided by Brian Hayden
Fecal remains,Detritus,,mapping provided by Brian Hayden
Fish-unidentified,Actinopterygii,,mapping provided by Brian Hayden
Enchinometra lucunter,Echinoidea,,mapping provided by Brian Hayden
organic stuff,Detritus,,mapping provided by Brian Hayden
decomposers/microfauna,Protistae,,mapping provided by Brian Hayden
herbivorous plankton,Crustacea,,mapping provided by Brian Hayden
Epishura lacustris,Epischura lacustris,http://eol.org/pages/340949,mapping provided by Brian Hayden
macrocrustacea,Crustacea,,mapping provided by Brian Hayden
microzooplankton,Animalia,,mapping provided by Brian Hayden
Trisopterus-sp,Trisopterus,,remove non standard -sp notation
Monogonanta,Monogononta,,mapping provided by Brian Hayden
Eoparagyractis,Crambidae,,http://www.inaturalist.org/taxa/317682-Eoparargyractis
Albabesmyia,Ablabesmyia,,mapping provided by Brian Hayden
Macropelopis,Macropalpis,,mapping provided by Brian Hayden
Endochrionomus,Chironomidae,,mapping provided by Brian Hayden
Cyclopoda,Cyclopoida,,mapping provided by Brian Hayden
emerging aquatic invertebrates,Animalia,,
Terrestrial invertebrates,Animalia,,
Aelosoma,Aeolosoma,,mapping provided by Brian Hayden
Psilachorema bidens,Chironomidae,,mapping provided by Brian Hayden
Maoridiamesea,Chironomidae,,mapping provided by Brian Hayden
Baraeoptera roria,Balaeoptera roria,,mapping provided by Brian Hayden
Polypedellum,Polypedilum,,mapping provided by Brian Hayden
Amelotopsis perscitus,Ephemeroptera,,mapping provided by Brian Hayden
Terrestial invertebrates,Animalia,,
Orthoclad Blue Black,Chironomidae,,mapping provided by Brian Hayden
Terrestrial invertebrate,Animalia,,
Diamesid Brown Orange,Chironomidae,,mapping provided by Brian Hayden
Diamesid Blond,Chironomidae,,mapping provided by Brian Hayden
Fish-Larvae,Actinopterygii,,mapping provided by Brian Hayden
Oxyrhyncha,Crustacea,,mapping provided by Brian Hayden
Tricoptera,Trichoptera,,mapping provided by Brian Hayden
Dipteran (not Chironomidae),Diptera,,mapping provided by Brian Hayden
Filamentous algae,Algae,,mapping provided by Brian Hayden
Small terrestrial inverts,Animalia,,
Aquatic macrophytes,Plantae,,mapping provided by Brian Hayden
Large terrestrial inverts,Animalia,,
Terrestrial vegetation,Plantae,,mapping provided by Brian Hayden
Fruit,Plantae,,mapping provided by Brian Hayden
Collembolla,Collembola,,mapping provided by Brian Hayden
Unicellular green algae,Algae,,mapping provided by Brian Hayden
Undefined zooplankton,Animalia,,mapping provided by Brian Hayden
Testate amoeba,Protistae,,mapping provided by Brian Hayden
Pelegobia longicirrata,Pelagobia longicirrata,,mapping provided by Brian Hayden
Crinoida,Crinoidea,,mapping provided by Brian Hayden
Oncea curvata,Oncaea curvata,,mapping provided by Brian Hayden
Vampryoteuthis,Cephalopoda,,mapping provided by Brian Hayden
Phytodetritus,Detritus,,mapping provided by Brian Hayden
Eophiliantidae,Amphipoda,,mapping provided by Brian Hayden
macrophytes,Plantae,,mapping provided by Brian Hayden
Matter,Detritus,,mapping provided by Brian Hayden
Entomostraca,Crustacea,,mapping provided by Brian Hayden
Chimarrha marginata,Trichoptera,,mapping provided by Brian Hayden
Sabellid Worm,Polychaeta,,mapping provided by Brian Hayden
Amphipod tube mat,Amphipoda,,mapping provided by Brian Hayden
Cottid spp.,Cottidae,,mapping provided by Brian Hayden
Encrusting Bryozoan spp.,Bryozoa,,mapping provided by Brian Hayden
Phyllobduris abdominalis,Isopoda,,mapping provided by Brian Hayden
Lecisthaster sp.,Trematoda,,mapping provided by Brian Hayden
Filamentous red spp.,Algae,,mapping provided by Brian Hayden
Filamentous green spp.,Algae,,mapping provided by Brian Hayden
Filamentous brown spp.,Algae,,mapping provided by Brian Hayden
Encrusting red algae spp.,Algae,,mapping provided by Brian Hayden
Branching Red Algae spp.,Algae,,mapping provided by Brian Hayden
Blady red spp.,Algae,,mapping provided by Brian Hayden
Blade Unidentified kelp juveniles,Algae,,mapping provided by Brian Hayden
Stylela montereyensis,Styela montereyensis,,mapping provided by Brian Hayden
Encrusting sponge spp.,Porifera,,mapping provided by Brian Hayden
Bothid spp.,Bothidae,,mapping provided by Brian Hayden
Small Kelletia,Buccinidae,,mapping provided by Brian Hayden
Orchomonopsis,Copepoda,,mapping provided by Brian Hayden
Feathers,Aves,,mapping provided by Brian Hayden
epontic microalgae,Algae,,mapping provided by Brian Hayden
Stempelinella,Chironomidae,,mapping provided by Brian Hayden
Suwalia,Plecoptera,,mapping provided by Brian Hayden
Ostacoda,Ostracoda,,mapping provided by Brian Hayden
Evadine sp.,Cladocera,,mapping provided by Brian Hayden
Nauplii2,Copepoda,,mapping provided by Brian Hayden
Unidefined zooplankton,Animalia,,mapping provided by Brian Hayden
Detrital sediment,Detritus,,mapping provided by Brian Hayden
Acunmindeutopus naglei,Plantae,,mapping provided by Brian Hayden
Paracerces caudata,Paracerceis caudata,,mapping provided by Brian Hayden
Pinixia floridana,Gastropoda,,mapping provided by Brian Hayden
meroplankton,Crustacea,,mapping provided by Brian Hayden
Golden brown algae,Algae,,mapping provided by Brian Hayden
Eucopepoda,Copepoda,,mapping provided by Brian Hayden
allochthonous matter,Detritus,,mapping provided by Brian Hayden
Aufwuchs,Detritus,,mapping provided by Brian Hayden
Sarortherdon macrochir,Sarotherdon macrochir,,mapping provided by Brian Hayden
epiphytic algae,Algae,,mapping provided by Brian Hayden
Phyacophila parantra,Rhyacophila parantra,,mapping provided by Brian Hayden
Heptagenidae,Heptageniidae,,mapping provided by Brian Hayden
Thunninae,Thunnini,,inconsistent name from SPIRE resource
filamentous green algae,Algae,,mapping provided by Brian Hayden
Chironomid type Slant-eye,Chironomidae,,mapping provided by Brian Hayden
Orthoclad Blue Blond,Chironomidae,,mapping provided by Brian Hayden
Decabrachia,Cephalopoda,,mapping provided by Brian Hayden
Metopograpsis messor,Metopograpsus messor,,mapping provided by Brian Hayden
Brachiodontes exustus,Brachidontes exustus,,mapping provided by Brian Hayden
Aquipecten irradians amplicostata,Aequipecten irradians,,mapping provided by Brian Hayden
Anomolopcardia cuneimeris,Anomalocardia cuneimeris,,mapping provided by Brian Hayden
Accetabularia crenulata,Acetabularia crenulata,,mapping provided by Brian Hayden
