original,corrected,reference,notes
S enflata,Sagitta enflata,http://eol.org/pages/11122846/overview,expanded abbreviation for marine species
Bacteria attached to sediment POM,Bacteria,,
Cal sapidus,Callinectes sapidus,replacement requested by James Simons,for more information see https://github.com/jhpoelen/gomexsi/issues/35
Fish bone,Actinopterygii,Wrast 2008,
Fish Eyeball,Actinopterygii,Wrast 2008,
Fish Fin Ray,Actinopterygii,Wrast 2008,
fish larvae,Actinopterygii,Barnes 2008,
Fish parts,Actinopterygii,Wrast 2008,
Fish skull,Actinopterygii,Wrast 2008,
Fish tissue (otoliths),Actinopterygii,Wrast 2008,
fish unidentified,Actinopterygii,Barnes 2008,
Otolith,Actinopterygii,Wrast 2008,
Unidentified fish remains,Actinopterygii,Baremore 2010,
Fish Tissue,Actinopterygii,Wrast 2008,
Ctenoid scale,Actinopterygii,Wrast 2008,
Alphaeus floridanus,Alpheus floridanus,Simons 1997,
Alpheus heterochaelis claws,Alpheus heterochaelis,Wrast 2008,
Alphaeus normanii,Alpheus normanii,Simons 1997,
Armanida agilis,Armandia agilis,Rogers 1977,
Asychis elongatus,Asychis elongata,Simons 1997,
Asychis nr. gotoi,Asychis,Simons 1997,
Bidulphia sp.,Biddulphia,Vega-Cendejas 1998,
Bivalvia Genus A,Bivalvia,Simons 1997,Genus A
Bivalvia Genus B,Bivalvia,Simons 1997,Genus B
Bocardiella sp. A,Boccardiella,Simons 1997,
Bowmaniella portorciensis,Bowmaniella portoricensis,Simons 1997,
Crab parts,Brachyura,Wrast 2008,
Unidentified crabs,Brachyura,Simons 1997,
brachyura larvae,Brachyura,Barnes 2008,
Brachyuran larvae,Brachyura,Wrast 2008,
Other crabs,Brachyura,Akin et al 2006,
Unid crab,Brachyura,Blewett 2006,
bryozoa larvae,Bryozoan,Barnes 2008,
Calanoid copepodite,Calanoida,Barnes 2008,
calanoid egg,Calanoida,Barnes 2008,
Calanoida copepoda,Calanoida,Akin et al 2006,
Unidentified calanoid,Calanoida,Simons 1997,
Callianassidae claw,Callianassidae,Wrast 2008,
Calazodion sp.,Calozodion,Simons 1997,
Larval shrimp,Caridea,Wrast 2008,
Shrimp carapace,Caridea,Wrast 2008,
Shrimp parts,Caridea,Wrast 2008,
Shrimp telson,Caridea,Wrast 2008,
Shrimp torso,Caridea,Wrast 2008,
Unid shrimp,Caridea,Blewett 2006,
Unidentified shrimp,Caridea,Akin et al 2006,
Unidentified shrimp (lar),Caridea,Simons 1997,
Unidentified shrimp (pl),Caridea,Simons 1997,
Unidentified shrimp remains,Caridea,Baremore 2010,
Centropages typicus - copepodite,Centropages typicus,Barnes 2008,
Centropages typicus - nauplius,Centropages typicus,Barnes 2008,
Callianassa emarginata,Cheramus marginatus,Simons 1997,
Conus semathorum,Conus sennottorum,Torruco and Gonzalez 1994,according to ITIS; is Conus philippi in WoRMS
Copepod copepodite,Copepoda,Barnes 2008,
Copepod egg,Copepoda,Barnes 2008,
copepod nauplius,Copepoda,Barnes 2008,
Copepoda juv.,Copepoda,Barnes 2008,
Corophiidae Genus B,Corophiidae,Simons 1997,Genus B
Crustacea digestate,Crustacea,McMichael,
crustacean larva,Crustacea,Barnes 2008,
Unidentified crustacean,Crustacea,Barnes 2008,
Unidentified crustacean egg,Crustacea,Barnes 2008,
teleosts/molluscs/crustaceans,Animalia,Barnes 2008,
Ctenophore medusae tissue,Ctenophora,Simons 1997,
Cyclopoid copepoda,Cyclopoida,Akin et al 2006,
Cyclopoid copepodite,Cyclopoida,Barnes 2008,
Decapod carapace,Decapoda,Wrast 2008,
Decapod legs,Decapoda,Wrast 2008,
Decapod zoea,Decapoda,Barnes 2008,
Decopoda larvae,Decapoda,Akin et al 2006,
Diptera midges(pupa),Diptera,Akin et al 2006,
Emiliani huxleyi,Emiliania huxleyi,Roopnarine et al 2013,according to WoRMS; is Coccolithus huxleyi in ITIS
Erichtonius brasiliensis,Erichthonius brasiliensis,Wrast 2008,
Euchirograspus sp.,Euchirograpsus,Simons 1997,
Eucratodes agassizi,Eucratodes agassizii,Simons 1997,
E. superba eggs,Euphausia superba,Barnes 2008,
E. superba nauplius,Euphausia superba,Barnes 2008,
Euphausa superba,Euphausia superba,Barnes 2008,
Eupragnatha? sp.,Euprognatha,Simons 1997,
Eusiridae Genus A,Eusiridae,Simons 1997,Genus A
Exocetidae,Exocoetidae,Saloman and Naughton 1983,
Exogene dispar,Exogone dispar,Simons 1997,
Exogene dispar?,Exogone dispar,Simons 1997,
Exogene sp.,Exogone,Simons 1997,
Litopenaeus aztecus,Farfantepenaeus aztecus,Divita et al 1983,
Far duoraum,Farfantepenaeus duorarum,http://eol.org/pages/325037/;Blewett 2006,
Grooved penaeid,Farfantepenaeus,Wrast 2008,
Other fundulus species,Fundulus,Akin et al 2006,
Gastropod operculum,Gastropoda,Wrast 2008,
Gastropoda Genus A,Gastropoda,Simons 1997,Genus A
Gastropoda Genus B,Gastropoda,Simons 1997,Genus B
Goniadella nordmanni,Goniadella,Simons 1997,
Halodule beaudetteiï¿½root,Halodule beaudettei,Wrast 2008,
Harpacticoida copepoda,Harpacticoida,Akin et al 2006,
Hyperidae,Hyperiidea,Barnes 2008,
Insect parts,Insecta,Wrast 2008,
Insect wings,Insecta,Wrast 2008,
Invertebrata digestate,Animalia,McMichael,
unidentified invert larva,Animalia,Barnes 2008,
Kimbergonuphis oligobranchiata,Kinbergonuphis oligobranchiata,Simons 1997,
Kimbergonuphis cf multidentata,Kinbergonuphis,Simons 1997,cf. multidentata
Kimbergonuphis sp.,Kinbergonuphis,Simons 1997,
Kimbergonuphis sp. C?,Kinbergonuphis,Simons 1997,sp. C
Lironeca tenuistylis,Livoneca tenuistylis,McMichael,
Lumbrinereis tenuis,Lumbrineris tenuis,Rogers 1977,accorsing to ITIS; is Scoletoma tenuis in WoRMS
Lysianassidae Genus A,Lysianassidae,Simons 1997,Genus A
Lysianassidae Genus B,Lysianassidae,Simons 1997,Genus B
Mediomastis californiensis,Mediomastus californiensis,Rogers 1977,
Menippe adina claw,Menippe adina,Wrast 2008,
Natacidae,Naticidae,Simons 1997,
Odonate,Odonata,Akin et al 2006,
Digestate,Organic matter,Wrast 2008,
Pleustidae Genus A,Pleustidae,Simons 1997,Genus A
Porcellana sigsbieana,Porcellana sigsbeiana,Simons 1997,
Porcellana sigsbieana (juv),Porcellana sigsbeiana,Simons 1997,
Porcellana sigsbieana? (juv),Porcellana,Simons 1997,
Rudilemboides nageli,Rudilemboides naglei,Simons 1997,
Sand calcareous,Sand,McMichael,
Sand siliceous,Sand,McMichael,
