System	NodeID	SpeciesID	StageID	Stage	SpeciesID.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeSD	BodySizeN	BodySizeEstimation	BodySizeNotes	Abundance(no./ha)	Abundance95%CL	AbundanceDF	Biomass(kg/ha)	Biomass95%CL	BiomassDF	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	NodeNotes
BSQ	25	25	1	adult	25.1	Capitella capitata	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00361251	0.00171603	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	34391.62	81323.2643	7	0.12424	0.29378088	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Capitellidae	Capitella	capitata	
BSQ	26	26	1	adult	26.1	capitellid?	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.0019013		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	74017.41	205505.263	4	0.1407296	0.39072799	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
EPB	26	26	1	adult	26.1	capitellid?	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00570975	0.00058059	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	15667.44	38336.8568	6	0.0894573	0.21889404	6	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
EPB	27	27	1	adult	27.1	cirratulid	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00421948		3	population	individuals encountered during the random sampling described in Kuris et al. (2008)	109586.21	267884.996	4.00380471	0.4623973	1.13033656	4.00380471	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Cirratulidae			
EPB	28	28	1	adult	28.1	cirratulid?	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00363676	0.00063182	3	population	individuals encountered during the random sampling described in Kuris et al. (2008)	45665.31	91287.4263	7.02573355	0.1858367	0.38240509	7.01016938	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
EPB	29	29	1	adult	29.1	Cirriformia spirabrancha	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.0035788	0.00122711	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	20143.86	36967.6833	6	0.0720908	0.13853728	6	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Cirratulidae	Cirriformia	spirabrancha	
BSQ	29	29	1	adult	29.1	Cirriformia spirabrancha	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00411416	0.00167098	21	population	individuals encountered during the random sampling described in Kuris et al. (2008)	1292687.51	1884866.23	4.00001725	4.9929166	6.79435382	4.00007367	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Cirratulidae	Cirriformia	spirabrancha	
EPB	30	30	1	adult	30.1	ctenodrilid	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00658063		102	population	individuals encountered during the random sampling described in Kuris et al. (2008)	2658283.26	6262070.04	7	17.493192	41.2083969	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Ctenodrilidae			
EPB	31	31	1	adult	31.1	errant annelid	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00555352	0.00428598	3	population	individuals encountered during the random sampling described in Kuris et al. (2008)	127003.59	274203.371	4.04745275	0.4171782	0.6791473	7.76464883	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
EPB	32	32	1	adult	32.1	errant large annelid	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00990495		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	26482.11	62620.2475	7	0.262304	0.62025027	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
