"","Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Source","URL"
"2738","Nymphalidae","Acraea pseudegina","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/10111221"
"2739","Nymphalidae","Acraea pseudegina","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/21515444"
"2664","Nymphalidae","Acraea quirina","Violaceae","Rinorea elliotii","EOL","http://eol.org/data_objects/22723647"
"2665","Nymphalidae","Acraea quirina","Violaceae","Rinorea poggei","EOL","http://eol.org/data_objects/22723647"
"2666","Nymphalidae","Acraea quirina","Violaceae","Rinorea subintegrifolia","EOL","http://eol.org/data_objects/22723647"
"2667","Nymphalidae","Acraea quirina","Euphorbiaceae","Drypetes","EOL","http://eol.org/data_objects/22723647"
"2668","Nymphalidae","Acraea quirina","Violaceae","Rinorea","EOL","http://eol.org/data_objects/22723647"
"2669","Nymphalidae","Acraea rogersi","Passifloraceae","Adenia lobata","EOL","http://eol.org/data_objects/19228826"
"2670","Nymphalidae","Acraea rogersi","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19228826"
"2654","Nymphalidae","Acraea satis","Urticaceae","Urera trinervis","EOL","http://eol.org/data_objects/19223825"
"2655","Nymphalidae","Acraea satis","Urticaceae","Urera","EOL","http://eol.org/data_objects/19223825"
"11512","Nymphalidae","Acraea satis","Urticaceae","Urera","BHL","http://www.biodiversitylibrary.org/page/39203022"
"2729","Nymphalidae","Acraea sykesi","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19228827"
"10002","Nymphalidae","Acraea violae","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/9960059"
"2711","Nymphalidae","Acraea violarum","Passifloraceae","Basananthe sandersonii","EOL","http://eol.org/data_objects/19223839"
"2712","Nymphalidae","Acraea violarum","Passifloraceae","Basananthe","EOL","http://eol.org/data_objects/19223839"
"2740","Nymphalidae","Acraea wigginsi","Fabaceae","Cassia","EOL","http://eol.org/data_objects/20812899"
"2689","Nymphalidae","Acraea zetes","Passifloraceae","Adenia lobata","EOL","http://eol.org/data_objects/19669687"
"2690","Nymphalidae","Acraea zetes","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19669687"
"2691","Nymphalidae","Acraea zetes","Passifloraceae","Barteria","EOL","http://eol.org/data_objects/19669687"
"2692","Nymphalidae","Acraea zetes","Passifloraceae","Basananthe","EOL","http://eol.org/data_objects/19669687"
"2693","Nymphalidae","Acraea zetes","Salicaceae","Hydnocarpus","EOL","http://eol.org/data_objects/19669687"
"2694","Nymphalidae","Acraea zetes","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/10111222"
"2695","Nymphalidae","Acraea zetes","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/19669687"
"2696","Nymphalidae","Acraea zetes","Passifloraceae","Smeathmannia","EOL","http://eol.org/data_objects/19669687"
"14331","Nymphalidae","Acraea zetes","Passifloraceae","Adenia cissampeloides","BHL","http://www.biodiversitylibrary.org/page/41065046"
"14332","Nymphalidae","Acraea zetes","Passifloraceae","Adenia lobata","BHL","http://www.biodiversitylibrary.org/page/41065046"
"14333","Nymphalidae","Acraea zetes","Passifloraceae","Passiflora caerulea","BHL","http://www.biodiversitylibrary.org/page/7072874"
"14334","Nymphalidae","Acraea zetes","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072874"
"14335","Nymphalidae","Acraea zetes","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072886"
"14336","Nymphalidae","Acraea zetes","Passifloraceae","Adenia","BHL","http://www.biodiversitylibrary.org/page/41065046"
"14337","Nymphalidae","Acraea zetes","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/41065046"
"14338","Nymphalidae","Acraea zetes","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072874"
