"Fish No","Fish Species","Date ","Date #","Site ","SL(mm)","Stomach volume","Stomach status","C. Method","Detritus","Sand","Diatoms","Centric diatoms","Pennate diatoms","Oscillatoria ","Filamentous algae","Green algae","Other blue green algae","Unicellular green algae","Brown algae","Golden brown algae","Nostocales (Blue green algae)","Chara","Ruppia maritima","Other macrophytes","Seeds","Invertebrate eggs ","Fish bones","Lucania parva eggs","Other fish eggs","Catfish egg","Unidentified bone","Fish eyes","Fish otolith","Ctenoid fish scale","Cycloid fish scale","Dinoflagellates (Noctiluca spp.)","Protozoa","Bivalvia","Gastropoda","Nematode","Nemotode(Parasite)","Calanoida copepoda","Harpacticoida copepoda","Copepoda nauplii","Cyclopoid copepoda","Cladocera","Rotifera","Unidefined zooplankton","Chironomidae larvae","Diptera 1","Diptera 2","Diptera midges(pupa)","Polycheate worm","Other annelid worms","Amphipoda(Gammarus spp.)","Corophium sp (amphipoda)","Decopoda larvae","Isopoda","Unidentified invertebrate","Other Ephemeroptera(Mayfly)","Ephemeroptera (Baetidae)","Coleoptera","Other Hymenoptera","Odonate","Damselfly","Other Thrips","Thysanoptera (thrips)","Pteromalitidae (Hymenoptera)","Hemiptera","Homoptera","Unidentified insect larvae","Arachnida ","Unidentified insects","Mollusks (Oyster)","Other Mollusks","Ostracoda","Brachyura (Crab zoea)","Mysidacea","Penaeid shrimp post larvae","Unidentified shrimp","Palaemonotes pugio","Peneaus setiferus","Peneaus aztecus","Callinectes sapidus","Other crabs","Neopunope sayi (mud crab)","Myrophis punctatus (speckled worm eel)","Mugil cephalus","Brevoortia patronus","Lepisosteus osseus ","Fundulus  grandis","Other fundulus species","Cyprinodon variegatus","Pogonias cromis","Menidia beryllina","Anchoa mitchilli","Other Sciaenidae species","Lagodon rhomboides","Ariopsis felis","Leiostomus xanthurus","Gobiosoma bosc","Lucania parva","Micropogonias undulatus","Cynoscion nebulosus","Poecilia latipinna","Unidentified fish","Unidentified fish larvae","Other Gobiidae ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Anchoa mitchilli","12.05.98",5,1,24,0.0007,,"Seine",,0.00028,,,0.000035,,,,,,,,,,,,,,,,,,,,,,,,0.00014,,,,,0.00021,,,,,0.000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Anchoa mitchilli","12.05.98",5,1,23.2,0.0007,,"Seine",,0.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000119,,,,,0.00042,,,,,0.000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Anchoa mitchilli","12.05.98",5,1,31.7,0.0007,,"Seine",,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000035,,,,,0.000245,,,,,0.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Anchoa mitchilli","12.05.98",5,1,31.5,0.00007,,"Seine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Anchoa mitchilli","12.05.98",5,1,29.1,0.00008,,"Seine",,0.000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Anchoa mitchilli","12.05.98",5,1,21.7,0.0009,,"Seine",0.00036,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00018,,,,,0.00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Anchoa mitchilli","12.05.98",5,1,24.2,0.00008,,"Seine",0.000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000016,,,,,0.000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Anchoa mitchilli","12.05.98",5,1,25.4,0.0007,,"Seine",0.00042,0.000175,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Anchoa mitchilli","12.05.98",5,1,22.7,0.0007,,"Seine",0.00021,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Anchoa mitchilli","12.05.98",5,1,27.3,0.0008,,"Seine",0.00044,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Anchoa mitchilli","12.05.98",5,1,24.4,0.0009,,"Seine",0.00063,0.00018,,,0.00009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Anchoa mitchilli","12.05.98",5,1,24.8,0.001,,"Seine",0.00045,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Anchoa mitchilli","12.05.98",5,1,28.2,0.0009,,"Seine",0.000405,0.000315,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000045,,,,,0.000135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Anchoa mitchilli","12.05.98",5,1,25,0.0009,,"Seine",0.00054,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Anchoa mitchilli","12.05.98",5,1,23.9,0.001,,"Seine",0.00065,0.0003,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,,0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Anchoa mitchilli","12.05.98",5,1,29.3,0.00002,,"Seine",,0.000001,0.000001,,,,,,,0.000002,,,,,,,,,,,,,,,,,,,,,,,,0.000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Anchoa mitchilli","12.05.98",5,1,26.4,0.00004,,"Seine",0.000012,0.00002,,,0.000004,,,,,0.0000008,,,,,,,,,,,,,,,,,,,,,,,,0.0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Anchoa mitchilli","12.05.98",5,1,25.1,0.00004,,"Seine",0.00002,0.000016,,0.000002,,,,,,,,,,,,,,,,,,,,,,,,,0.000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
