ID,Common_Name,Scientific_Name,Taxonomy,Longitude,Latitude,Altitude_min_m,Altitude_mean_m,Altitude_max_m,Location_Region,Location_Specific,Habitat_type,Observation_Month_Begin,Observation_Year_Begin,Observation_Month_End,Observation_Year_End,Observation_Season,Prey_Kingdom,Prey_Phylum,Prey_Class,Prey_Order,Prey_Suborder,Prey_Family,Prey_Genus,Prey_Scientific_Name,Prey_Stage,Prey_Part,Prey_Common_Name,Fraction_Diet_By_Wt_or_Vol,Fraction_Diet_By_Items,Fraction_Occurrence,Fraction_Diet_Unspecified,Item Sample Size,Bird Sample size,Sites,Study Type,Notes,Source
35,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,diprionidae,,,adult,,conifer sawflies,0.168,,0.1430,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
36,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,Andrenidae,,,adult,,bees,trace,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
37,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,ichneumonidae,,,adult,,ichneumonid wasps,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
38,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,chrysididae,,,adult,,cuckoo wasps,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
39,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,tenthredinidae,,,adult,,common sawflies,0.014,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
40,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,unknown,,,adult,,,0.003,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
41,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Arachnida,Araneae,,,,,adult,,spiders,0.056,,0.7620,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
42,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Neuroptera,,chrysopidae,,,adult,,common lacewings,0.014,,0.1430,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
43,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,coleoptera,,scolytidae,,,adult,,bark beetles,0.003,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
44,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,coleoptera,,chrysomelidae,,,adult,,leaf beetles,0.078,,0.3330,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
