PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	1	0	1	92	387	68	268	68.1	268.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	388	68	269	68.1	269.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	390	68	271	68.1	271.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	391	68	272	68.1	272.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	392	68	273	68.1	273.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	393	68	274	68.1	274.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	394	68	275	68.1	275.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	395	68	276	68.1	276.3	16	predation on free-living non-feeding stage	modeled							
1	1	0	1	92	396	68	277	68.1	277.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	92	399	68	279	68.1	279.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	92	400	68	280	68.1	280.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	6	70	6	70.1	6.1	1	predation	inferred							
1	0	0	1	94	12	70	12	70.1	12.1	1	predation	inferred							
1	0	0	1	94	50	70	25	70.1	25.2	1	predation	inferred							
1	0	0	1	94	68	70	44	70.1	44.2	1	predation	inferred							
1	0	0	1	94	101	70	61	70.1	61.2	1	predation	inferred							
1	0	0	1	94	104	70	64	70.1	64.2	1	predation	inferred							
1	0	0	1	94	105	70	65	70.1	65.2	1	predation	inferred							
1	0	0	1	94	106	70	66	70.1	66.2	1	predation	inferred							
1	0	0	1	94	107	70	67	70.1	67.2	1	predation	inferred							
1	0	0	1	94	108	70	68	70.1	68.2	1	predation	inferred							
1	0	0	1	94	110	70	70	70.1	70.2	1	predation	inferred							
1	0	0	1	94	111	70	71	70.1	71.2	1	predation	inferred							
1	0	0	1	94	112	70	72	70.1	72.2	1	predation	inferred							
1	0	0	1	94	113	70	73	70.1	73.2	1	predation	inferred							
1	0	0	1	94	353	70	233	70.1	233.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	354	70	234	70.1	234.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	355	70	235	70.1	235.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	357	70	237	70.1	237.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	94	358	70	238	70.1	238.3	16	predation on free-living non-feeding stage	inferred							
