PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
0	0	1	1	61	12	37	12	37.2	12.1	1	predation	speculated	Assigned planktotrophy, but is possibly non-feeding						
0	0	1	1	64	12	40	12	40.2	12.1	1	predation	speculated	Assigned planktotrophy, but is possibly non-feeding						
0	0	1	1	65	12	41	12	41.2	12.1	1	predation	speculated	Assigned planktotrophy, but is possibly non-feeding						
0	0	1	1	66	12	42	12	42.2	12.1	1	predation	speculated	Assigned planktotrophy, but is possibly non-feeding						
0	0	1	1	67	12	43	12	43.2	12.1	1	predation	inferred	Congeneric species have both feeding and non-feeding larvae (Carson & Hentshel 2006)						
0	1	1	1	69	12	45	12	45.2	12.1	1	predation	inferred	Confamilial species have both feeding and non-feeding larvae (Carson & Hentshel 2006)						
1	1	1	1	71	168	47	122	47.1	122.1	3	micropredation	observed							
0	1	1	1	72	2	48	2	48.1	2.1	18	detritivory	modeled							
0	0	1	1	72	49	48	24	48.1	24.2	1	predation	modeled							
0	0	1	1	72	50	48	25	48.1	25.2	1	predation	modeled							
0	1	1	1	72	51	48	26	48.1	26.2	1	predation	modeled							
0	1	1	1	72	54	48	29	48.1	29.2	1	predation	modeled							
0	0	1	1	72	59	48	34	48.1	34.2	1	predation	modeled							
0	0	1	1	72	60	48	36	48.1	36.2	1	predation	modeled							
0	0	1	1	72	61	48	37	48.1	37.2	1	predation	modeled							
0	0	1	1	72	62	48	38	48.1	38.2	1	predation	modeled							
0	0	1	1	72	63	48	39	48.1	39.2	1	predation	modeled							
0	0	1	1	72	64	48	40	48.1	40.2	1	predation	modeled							
0	0	1	1	72	65	48	41	48.1	41.2	1	predation	modeled							
0	0	1	1	72	66	48	42	48.1	42.2	1	predation	modeled							
0	0	1	1	72	67	48	43	48.1	43.2	1	predation	modeled							
0	1	1	1	72	69	48	45	48.1	45.2	1	predation	modeled							
0	0	1	1	72	106	48	66	48.1	66.2	1	predation	modeled							
0	1	1	1	72	132	48	92	48.1	92.1	1	predation	modeled							
0	1	1	1	72	353	48	233	48.1	233.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	354	48	234	48.1	234.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	355	48	235	48.1	235.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	357	48	237	48.1	237.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	358	48	238	48.1	238.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	359	48	239	48.1	239.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	72	360	48	240	48.1	240.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	364	48	244	48.1	244.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	365	48	245	48.1	245.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	366	48	246	48.1	246.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	367	48	247	48.1	247.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	368	48	248	48.1	248.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	369	48	250	48.1	250.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	72	373	48	254	48.1	254.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	72	375	48	256	48.1	256.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	72	376	48	257	48.1	257.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	378	48	259	48.1	259.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	379	48	260	48.1	260.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	72	381	48	262	48.1	262.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	72	382	48	263	48.1	263.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	384	48	265	48.1	265.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	385	48	266	48.1	266.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	387	48	268	48.1	268.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	388	48	269	48.1	269.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	390	48	271	48.1	271.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	72	391	48	272	48.1	272.3	16	predation on free-living non-feeding stage	modeled							
